ID,Material/Polymer Name,Polymer Family,Healing Mechanism,External Stimulus Required,Healing Temp (°C),Healing Temp Notes,Healing Time (hrs),Healing Efficiency (%),Efficiency Measured Property,Tensile Strength (MPa),Elongation at Break (%),Flexibility Category,Application Area,Main Advantages,Main Limitations/Trade-offs,Supporting Evidence,Paper Title,Authors,Year,Journal,DOI/Link,Data Collector,Date Collected,Verification Status,Notes/Uncertainty Flags
P011,BHMT/TCDI hyperbranched polymer with thiocarbamate,Other,Hydrogen Bonding,Pressure/Mechanical,30,Normal force of 40 N was applied,1,98,Tensile Strength,15.3,2.8,Rigid,Not Stated in Review,High reported strength and 98% recovery within one hour.,Requires either a 40 N normal force or solvent assistance; therefore it is not fully autonomous under the entered condition.,"Table 2: σ = 15.3 MPa, ε \~2.8%, 30°C, 1 h, 98%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Polymer Family: hyperbranched thiourea/thiocarbamate glassy polymer
P012,MBA/BDA hyperbranched polymer,Other,Hydrogen Bonding,Autonomous (Room Temp),25,Table 2 condition,48,76,Tensile Strength,13,9,Rigid,Not Stated in Review,Can begin autonomous repair rapidly and reaches 76% recovery without an external trigger.,Recovery remains incomplete after 48 h and the material has low elongation.,"Table 2: σ \~13 MPa, ε \~9%, 25°C, 48 h, 76%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Polymer Family: hyperbranched amide/amine glassy polymer
P013,PDES with polyphenol nanoassemblies,Composite,Other,No External Stimuli,20,Fully cut sample healed without external pressure or stimuli,6,86,Tensile Strength,30.6,300,Highly Flexible/Elastomeric,Not Stated in Review,Unusually high tensile strength while still achieving substantial healing at −20°C without external pressure or stimuli.,Requires 6 h at the entered subzero condition; no additional material-specific limitation is explicitly stated.,"Table 2: σ \~30.6 MPa, ε \~300%, −20°C, 6 h, 86%. The prose confirms \~86% tensile-strength recovery after 6 h at −20°C.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Healing Mechanism: hydrogen bonding combined with metal–ligand coordination; External Stimuli: No external stimulus — autonomous at subzero temperature
P014,DCNC/PEDA hyperbranched epoxy vitrimer,Epoxy Vitrimer,Other,Autonomous (Room Temp),25,Table 2 condition; prose describes room temperature,12,96,Tensile Strength,36,51.3,Semi-Flexible,Not Stated in Review,Reports 36 MPa original tensile strength and 96% recovery at room temperature while retaining vitrimer recyclability.,Requires 12 h and the tensile test described in the prose used partial-cut damage rather than complete separation.,"Table 2: σ = 36 MPa, ε = 51.3%, 25°C, 12 h, 96%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Healing Mechanism: β-hydroxy ester exchange combined with hydrogen bonding and π–π stacking
P015,polyEGDA-polyBA star polymers,Other,Disulfide Exchange,Autonomous (Room Temp),25,Review explicitly says healing was studied at room temperature,N/A,100,Other,N/A,N/A,Semi-Flexible,Coatings,Complete reported healing at ambient conditions using reversible disulfide crosslinks.,Healing speed varies with cut width/depth; deep cuts heal less effectively.,Table 2 reports 100%; surrounding discussion says healing was judged when Young’s modulus at the cut matched virgin material.,Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,Polymer Family: poly(acrylate)-based core-crosslinked star copolymer
P016,random PDMS-based co-polymer,Silicone/PDMS,Other,Autonomous (Room Temp),25,No heating listed; standardized RT assumption,4,95,Tensile Strength,0.14,2200,Highly Flexible/Elastomeric,Adhesives,95% recovery; exceptionally high 2200% elongation; autonomous healing.,Very low tensile strength of 0.14 MPa.,"Table 2: 95%, 4 h, 0.14 MPa, 2200%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,Healing Mechanism: Disulfide Exchange + Imine/Schiff Base Bond
P017,PTMG-based dual-functionalized polyurethane,Polyurethane,Disulfide Exchange + Hydrogen Bonding,Heat,60,Explicitly reported,6,100,Tensile Strength,5.01,N/A,Highly Flexible/Elastomeric,Structural/Composite,Complete healing and 5.01 MPa strength; combines rapid H-bonding response with slower disulfide repair.,Requires 60°C for 6 h.,"Table 2: 100%, 60°C, 6 h, 5.01 MPa.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P018,IP-SS co-polymerized with PTMG,Polyurethane,Disulfide Exchange,Autonomous (Room Temp),25,Explicitly reported,2,88.5,Other,6.8,920,Highly Flexible/Elastomeric,Structural/Composite,Strong room-temperature healing while retaining 6.8 MPa strength and 920% stretchability.,Efficiency varies by healing method.,"Table 2: 77–100%, 25°C, 2 h, 6.8 MPa, 920%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P019,"HM-SS: 4,4′-methylenebis(phenyl isocyanate)-based copolymer of PTMG",Polyurethane,Disulfide Exchange,Autonomous (Room Temp),25,Explicitly reported,2,79.5,Other,4.5,490,Highly Flexible/Elastomeric,Structural/Composite,Large strain at break and substantial room-temperature recovery.,Lower healing performance than IP-SS.,"Table 2: 70–89%, 25°C, 2 h, 4.5 MPa, 490%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P020,M-SS co-polymerized with PTMG,Polyurethane,Disulfide Exchange,Autonomous (Room Temp),25,Explicitly reported,2,2,Other,30.4,940,Highly Flexible/Elastomeric,Structural/Composite,Very high pristine tensile strength 30.4 MPa.,Extremely poor healing despite high stretchability; review attributes this to rigidity/packing.,"Table 2: 0–4%, 25°C, 2 h, 30.4 MPa, 940%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P021,H-SS co-polymerized with PTMG,Polyurethane,Disulfide Exchange,Autonomous (Room Temp),25,Explicitly reported,2,17,Other,9.5,750,Highly Flexible/Elastomeric,Structural/Composite,9.5 MPa strength and 750% elongation.,Only modest recovery because high packing restricts healing.,"Table 2: 4–30%, 25°C, 2 h, 9.5 MPa, 750%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P022,Copolymerized with 2-ethylhexyl methacrylate via disulfide linkages,Other,Disulfide Exchange,Autonomous (Room Temp),25,No external stimulus reported; standardized RT assumption,0.275,100,Other,N/A,N/A,Semi-Flexible,Coatings,Complete and relatively rapid ambient cut closure.,Healing speed depends strongly on cut geometry.,"Table 2: 100%, 3–30 min; footnote says healing is based on change in cut width.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,Polymer Family: disulfide-linked methacrylate copolymer
P023,PTMG-containing shape-memory disulfide copolymer,Polyurethane,Disulfide Exchange + Shape Memory,Heat,100,Microwave Heating,0.1667,82.5,Tensile Strength,27.4,1005,Highly Flexible/Elastomeric,Structural/Composite,High strength huge stretchability and strong shape-memory-assisted recovery.,Needs 100°C microwave heating; properties depend on disulfide content.,"Table 2: 74–91%, 10 min, 22.9–31.9 MPa, 850–1160%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,Healing Mechanism: Disulfide Exchange + Shape Memory
P024,Disulfide-liquid crystal elastomer — thermal healing,Elastomer,Disulfide Exchange + Shape Memory,Heat,180,Explicit thermal-healing condition,3,20,Tensile Strength,0.0675,350,Highly Flexible/Elastomeric,Soft Robotics,Can heal through thermal shape-memory/disulfide response.,Requires very high 180°C and recovers only 20% after 3 h.,"Table 2: 180°C, 20%, 3 h, tensile strength 0.015–0.12 MPa, 350% strain.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P025,Disulfide-liquid crystal elastomer — UV healing,Elastomer,Disulfide Exchange + Shape Memory,Light/UV,25,Review reports RT + UV; RT standardized to 25°C,3,24,Tensile Strength,0.0675,350,Highly Flexible/Elastomeric,Soft Robotics,Same material also responds to UV at ambient temperature.,Only 24% recovery after 3 h.,"Table 2: RT + UV, 24%, 3 h, 0.015–0.12 MPa, 350%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P026,Thiuram-disulfide-crosslinked polytetra(ethylene glycol),Elastomer,Disulfide Exchange,Light/UV,25,"Table-top lamp; no heating reported, so ambient standardized to 25°C",0.0167,92,Tensile Strength,4.2,200,Highly Flexible/Elastomeric,Coatings,Very fast healing—1 minute—with good 4.2 MPa strength.,Requires light exposure.,"Table 2: table-top lamp, 87–97%, 1 min, 4.2 MPa, 200%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P027,PU incorporating BiTEMPS,Polyurethane,Disulfide Exchange,Heat,100,Explicitly reported,24,89.5,Tensile Strength,0.14,440,Highly Flexible/Elastomeric,Structural/Composite,High recovery and 440% elongation.,Requires 100°C for 24 h and pristine strength is only 0.14 MPa.,"Table 2: 86–93%, 100°C, 24 h, 0.14 MPa, 440%.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P028,poly(hexyl methacrylate) incorporating BiTEMPS,BiTEMPS-containing polymethacrylate,Disulfide Exchange,Multiple Stimuli,120,120°C + 70 kPa pressure,24,88.5,Tensile Strength,7.6,280,Highly Flexible/Elastomeric,Structural/Composite,7.6 MPa strength with substantial healing and flexibility.,Requires both high temperature and pressure for 24 h.,"Table 2: 120°C + 70 kPa, 85–92%, 24 h, 7.6 MPa, strain 280.",Thiol- and Disulfide-Based Stimulus-Responsive Soft Materials and Self-Assembling Systems,Danielle M. Beaupre and Richard G. Weiss,2021,Molecules,https://doi.org/10.3390/molecules26113332,RS,2026-08-07,,
P029,Recyclable polyurethane nanocomposites,Composite,Diels-Alder Reaction,Heat,90,90°C for 5 min; then 65°C for 48 h,48.0833,90,Tensile Strength,40.07,N/A,Semi-Flexible,Structural/Composite,Very high strength with >90% healing.,Long multi-stage thermal treatment.,"Table 1, ref. 64: 40.07 ± 2.86 MPa; >90%; 90°C 5 min then 65°C 48 h.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P030,Recyclable polyurethane composites,Composite,Diels-Alder Reaction,Multiple Stimuli,120,NIR 30 s → 120°C 2 h → 80°C 24 h,26.0083,93.1,Tensile Strength,24,N/A,Semi-Flexible,Structural/Composite,24 MPa strength and 93.1% recovery; NIR-responsive.,Complex multi-stage NIR/thermal healing.,"Table 1, ref. 65: 24 MPa; 93.1%; NIR + 120°C + 80°C sequence.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P031,Non-isocyanate polyurethanes,Polyurethane,Diels-Alder Reaction,Heat,120,120°C 30 min then 60°C 24 h,24.5,100,Tensile Strength,2.2,N/A,Highly Flexible/Elastomeric,Structural/Composite,Complete recovery.,Requires 24.5 h total thermal treatment.,"Table 1, ref. 66: 2.2 MPa; 100%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P032,Dihydroxyl-coumarin-based polyurethane,Polyurethane,photochemical [2+2] cycloaddition,Light/UV,25,254 nm UV followed by 350 nm UV; ambient temperature assumed,2,64.4,Tensile Strength,3.5,N/A,Highly Flexible/Elastomeric,photoreactive self-healing polyurethane,Light-controlled healing at ambient conditions.,Only 64.4% tensile recovery and ≥2 h irradiation.,"Table 1, ref. 50: 3.5 MPa; 64.4% tensile-strength recovery.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P033,Waterborne polyurethane,Polyurethane,Disulfide Exchange,Autonomous (Room Temp),25,RT standardized to 25°C,24,95.18,Tensile Strength,18.5,N/A,Highly Flexible/Elastomeric,Coatings,Strong room-temperature healing; waterborne processing.,Requires 24 h.,"Table 1, ref. 71: 12–25 MPa; 95.18%; RT 24 h.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P034,Al₂O₃/polyurethane-acrylic superamphiphobic coating,Composite,Disulfide Exchange,Heat,80,80°C for 90 min,1.5,100,Scratch Removal,14.65,N/A,Semi-Flexible,Coatings,Nearly complete scratch removal and relatively high strength.,Requires 80°C.,"Table 1, ref. 72: 12.8–16.5 MPa; almost 100% scratch removal.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P035,Polydimethylsiloxane–polyurethane,Polyurethane,Disulfide Exchange,Heat,120,Explicitly reported,12,97,Tensile Strength,3.31,N/A,Highly Flexible/Elastomeric,Structural/Composite,97% recovery in PDMS-modified polyurethane.,Requires 120°C for 12 h.,"Table 1, ref. 73: 3.31 MPa; 97%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P036,Dipropyl/dibutyl-disulfide thermoset rubber,Elastomer,disulfide–thiol exchange,Autonomous (Room Temp),25,RT standardized to 25°C,24,99,Tensile Strength,0.32,N/A,Highly Flexible/Elastomeric,Structural/Composite,Up to 99% autonomous room-temperature healing.,Very low tensile strength of 0.32 MPa.,"Table 1, ref. 74: 320 kPa; up to 99%; RT 24 h.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P037,Isocyanate-based crosslinked star-shaped polyglycolide network,Crosslinked Polyglycolide Network,Transesterification,Heat,140,Paper reports 120–160°C; midpoint entered,0.1667,70,Tensile Strength,10,N/A,Semi-Flexible,Structural/Composite,Short 10-min healing time.,Requires 120–160°C and only 70% recovery.,"Table 1, ref. 78: 10 MPa; 70%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P038,Bentonite/natural-rubber composite,Composite,Transesterification,Heat,150,Explicitly reported,3,96,Tensile Strength,4.5,N/A,Highly Flexible/Elastomeric,Structural/Composite,96% healing with rubber-like flexibility.,Requires 150°C for 3 h.,"Table 1, ref. 80: 4.5 MPa; 96%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P039,CNT-embedded self-healing elastomer actuator,Composite,Hydrogen Bonding,Light/UV,66,NIR irradiation; paper reports 66°C,0.00056,87.68,Toughness,12.52,N/A,Highly Flexible/Elastomeric,Soft Robotics,Extremely rapid — only 2 s — and retains 12.52 MPa strength.,Requires NIR irradiation/heating.,"Table 2, ref. 106: 12.52 MPa; 87.68% toughness recovery; 99.50% actuating recovery.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P040,Epoxidized natural rubber/nanochitin/carboxymethyl-chitosan/CNT composite,Composite,Hydrogen Bonding,Autonomous (Room Temp),25,RT standardized to 25°C,24,91,Tensile Strength,3.5,N/A,Highly Flexible/Elastomeric,Sensors,91% recovery autonomously at RT.,Requires 24 h.,"Table 2, ref. 109: 3.5 MPa; 91%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P041,Polyurethane elastomer/polypropylene glycol,Polyurethane,Hydrogen Bonding,Heat,45,Explicitly Reported,2,79.85,Tensile Strength,33.6,N/A,Highly Flexible/Elastomeric,Structural/Composite,Very high reported tensile strength up to 33.6 MPa.,79.85% recovery and requires 45°C.,"Table 2, ref. 110.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P042,Acrylamide/hydrophobic-acrylic-monomer hydrogel,Hydrogel,Metal-Ligand Coordination,Autonomous (Room Temp),25,RT standardized to 25°C,0.1667,100,Tensile Strength,0.05134,N/A,Highly Flexible/Elastomeric,Soft Robotics,Full stress recovery in only 10 min at RT.,Very low strength.,"Table 2, ref. 111: 51.34 kPa; 100% stress recovery, 90% energy recovery.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P043,CNT/silver-coated methyl vinyl silicone rubber,Silicone/PDMS,Metal-Ligand Coordination,Heat,120,Explicitly reported,84,87.5,Tensile Strength,0.13,N/A,Highly Flexible/Elastomeric,Sensors,Silicone rubber system with substantial healing.,Very slow: 84 h at 120°C.,"Table 2, ref. 112: 130 kPa; 84–91%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P044,Cyclometalated Pt(II)/PDMS polymer,Silicone/PDMS,π–π interactions,Autonomous (Room Temp),25,RT standardized to 25°C,12,100,Tensile Strength,0.3,N/A,Highly Flexible/Elastomeric,Wearable Electronics,Nearly complete RT healing in PDMS.,Low tensile strength of 0.30 MPa.,"Table 2, ref. 116: 300 kPa; almost 100%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P045,Pyrene-containing PCL/SWCNT network,Composite,π–π interactions,Light/UV,25,NIR light; no numerical temperature reported,2,100,Scratch Removal,26.5,N/A,Semi-Flexible,Sensors,High-strength NIR-responsive network and complete scratch closure.,Requires 2 h NIR exposure.,"Table 2, ref. 118: 21–32 MPa; scratch completely removed.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P046,Azobenzene-containing liquid-crystalline polyester,Other,π–π interactions,Heat,60,Explicitly reported,5,73.5,Tensile Strength,12.8,N/A,Semi-Flexible,Soft Robotics,12.8 MPa strength with thermal healing.,Only 73.5% efficiency after 5 h.,"Table 2, ref. 119.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
P047,Natural-rubber-based carboxylate ionomer,Elastomer,Ionic Interaction,Heat,80,Explicitly reported,2,75,Tensile Strength,2.7,N/A,Highly Flexible/Elastomeric,Structural/Composite,Rubber-like material with ionic reversible network.,Requires 80°C and gives 75% recovery.,"Table 2, ref. 121: 2.7 MPa; 75%.",Progress and challenges in self-healing composite materials,Shafiqul Islam; Gajanan Bhat,2021,Materials Advances,https://doi.org/10.1039/D0MA00873G,RS,2026-08-11,,
